 Amazon Launches One-Hour Delivery Service In Baltimore and Miami,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/CQFlw6f196w/amazon-launches-one-hour-delivery-service-in-baltimore-and-miami,"schwit1 writes Amazon.com announced the launch Thursday of its one-hour delivery service, Prime Now, in select zip codes in Baltimore and Miami. It initially launched in Manhattan in December. The one-hour service, available to Amazon Prime subscribers through the Prime Now mobile app, costs $7.99. Two-hour delivery is free. From the article: ""Amazon Prime's success has blown away the company's projections and 'petrified' local and national retailers, said Howard Davidowitz, chairman of Davidowitz &amp; Associates, a national retail consulting and investment banking firm headquartered in New York City. 'If you're a retailer and you're not scared of Amazon ... you should be,' he said. 'They are the change agent. They are leading the change in retail.'""<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=+Amazon+Launches+One-Hour+Delivery+Service+In+Baltimore+and+Miami%3A+http%3A%2F%2Fbit.ly%2F1xlDYMl""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F03%2F20%2F0259208%2Famazon-launches-one-hour-delivery-service-in-baltimore-and-miami%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/03/20/0259208/amazon-launches-one-hour-delivery-service-in-baltimore-and-miami?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://tech.slashdot.org/story/15/03/20/0259208/amazon-launches-one-hour-delivery-service-in-baltimore-and-miami?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7128069&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/CQFlw6f196w"" height=""1"" width=""1"" alt=""""/>"
A New Edition of The New England Journal of Medicine is Available (bioethicscom),http://news.feedzilla.com/en_us/stories/science/426964483?client_source=api&format=json,"The New England Journal of Medicine (Volume 372, No. 10, March 5, 2015) is now
available online by subscription only. Articles include: ""International health
care systems: A precious jewel - The role of general practice in the English
NHS"" by M. Marshall ""Setting … Read More

"
A Rare Total Solar Eclipse (NY Times),http://news.feedzilla.com/en_us/stories/science/426903210?client_source=api&format=json,"Friday’s eclipse will appear to be total only on the Faroe Islands and
Svalbard, Norway, but it can be seen without going farther than your computer.







"
Amazon Wins US Regulators' Approval To Test-fly Drone,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/gQd-CzAfjMg/amazon-wins-us-regulators-approval-to-test-fly-drone,"mpicpp sends word that Amazon drones may soon deliver your packages. ""Amazon.com Inc has won U.S. federal regulators' approval to test a delivery drone, as the e-commerce giant pursues a vision of speeding packages to customers through the air amid public concern over the safety and privacy implications. The Federal Aviation Administration said on Thursday it had issued an experimental airworthiness certificate to an Amazon unit and its prototype drone design, allowing it to conduct outdoor test flights on private, rural land in Washington state. The experimental certificate applies to a particular drone design and Amazon must obtain a new certification for test flights if it modifies the drone. In return, the company must supply monthly data to the regulators, and conduct flights at 400 feet (120 meters) or below and in 'visual meteorological conditions,' according to the FAA's certificate. The drone operators must also have a private pilots' license and current medical certification.""<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=Amazon+Wins+US+Regulators'+Approval+To+Test-fly+Drone%3A+http%3A%2F%2Fbit.ly%2F1BDI5yc""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F03%2F19%2F2243244%2Famazon-wins-us-regulators-approval-to-test-fly-drone%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/03/19/2243244/amazon-wins-us-regulators-approval-to-test-fly-drone?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://tech.slashdot.org/story/15/03/19/2243244/amazon-wins-us-regulators-approval-to-test-fly-drone?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7127573&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/gQd-CzAfjMg"" height=""1"" width=""1"" alt=""""/>"
"At Least 700,000 Routers Given To Customers By ISPs Are Vulnerable To Hacking",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/gquvpY5R3J0/at-least-700000-routers-given-to-customers-by-isps-are-vulnerable-to-hacking,"itwbennett writes: More than 700,000 ADSL routers provided to customers by ISPs around the world contain serious flaws that allow remote hackers to take control of them. Most of the routers have a 'directory traversal' flaw in a firmware component called webproc.cgi that allows hackers to extract sensitive configuration data, including administrative credentials. The flaw isn't new and has been reported by multiple researchers since 2011 in various router models.<p><div class=""share_submission"" style=""position:relative;"">
<a class=""slashpop"" href=""http://twitter.com/home?status=At+Least+700%2C000+Routers+Given+To+Customers+By+ISPs+Are+Vulnerable+To+Hacking%3A+http%3A%2F%2Fbit.ly%2F1H8BlwL""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a>
<a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F03%2F20%2F1243223%2Fat-least-700000-routers-given-to-customers-by-isps-are-vulnerable-to-hacking%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a>

<a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/03/20/1243223/at-least-700000-routers-given-to-customers-by-isps-are-vulnerable-to-hacking?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a>                                                                                                                                                                              



</div></p><p><a href=""http://tech.slashdot.org/story/15/03/20/1243223/at-least-700000-routers-given-to-customers-by-isps-are-vulnerable-to-hacking?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=7131061&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/gquvpY5R3J0"" height=""1"" width=""1"" alt=""""/>"
Between the lines (Physicsworld),http://news.feedzilla.com/en_us/stories/science/426718487?client_source=api&format=json,"Tasneem Zehra Husain's imaginative physics-history novel _Only the Longest
Threads_ and Peter Adey's ramble through _Air: Nature and Culture_, reviewed
by **Margaret Harris**

"
Book Review: On Romantic Love (Scientific American),http://news.feedzilla.com/en_us/stories/science/426970346?client_source=api&format=json,"Books and recommendations from Scientific American MIND


-- Read more on ScientificAmerican.com

"
Common Cat Parasite Affects Many Other Hosts (Scientific American),http://news.feedzilla.com/en_us/stories/science/426734771?client_source=api&format=json,"Toxoplasma gondii affects creatures on land, in the air and on the sea through
multiple means of transmission


-- Read more on ScientificAmerican.com

"
Crocodile ancestor was top predator before dinosaurs roamed North America (Eurekalert),http://news.feedzilla.com/en_us/stories/science/426716135?client_source=api&format=json,"A newly discovered crocodilian ancestor may have filled one of North America's
top predator roles before dinosaurs arrived on the continent. Carnufex
carolinensis, or the 'Carolina Butcher,' was a nine-foot long, land-dwelling
crocodylomorph that walked on its hind legs and likely preyed upon smaller
inhabitants of North Carolina ecosystems such as armored reptiles and early
mammal relatives.

"
"Eclipse sweeps across Atlantic, visible only from remote islands (reuters)",http://news.feedzilla.com/en_us/stories/science/426901792?client_source=api&format=json,"TORSHAVN (Reuters) - A solar eclipse swept across the Atlantic Ocean on Friday
with the moon set to block out the sun for a few thousand sky gazers on remote
islands with millions more in Europe, Africa and Asia getting a partial
celestial show.

"
